timestamp,sensor_temp,setpoint,gas_flow,air_flow,furnace_load,ambient_temp,gas_pressure,energy_consumption
2026-01-01 00:00:00,735.014,780.0,99.039,95.934,603.535,20.167,5.137,444.246
2026-01-01 00:00:20,746.625,780.0,99.039,95.934,591.731,20.606,5.25,453.061
2026-01-01 00:00:40,754.206,780.0,90.636,94.896,736.611,19.651,5.127,410.439
2026-01-01 00:01:00,759.186,780.01,83.374,89.775,738.02,19.685,5.163,378.931
2026-01-01 00:01:20,769.235,780.01,76.893,89.089,699.088,19.657,5.199,351.671
2026-01-01 00:01:40,775.821,780.01,66.788,79.995,698.365,19.446,5.33,313.501
2026-01-01 00:02:00,779.027,780.01,57.902,77.155,688.658,18.433,5.211,268.956
2026-01-01 00:02:20,780.417,780.02,49.212,72.376,622.229,20.571,5.372,236.48
2026-01-01 00:02:40,782.122,780.02,53.815,76.976,669.365,20.49,5.322,258.626
2026-01-01 00:03:00,782.181,780.02,52.112,74.021,634.397,19.086,5.189,240.914
2026-01-01 00:03:20,782.189,780.02,50.086,70.31,541.313,19.744,5.247,234.257
2026-01-01 00:03:40,781.524,780.02,52.033,73.821,709.003,19.555,5.26,244.387
2026-01-01 00:04:00,781.15,780.03,54.198,77.405,684.38,19.579,4.982,243.178
2026-01-01 00:04:20,781.045,780.03,49.096,71.023,600.93,18.717,5.082,225.68
2026-01-01 00:04:40,780.59,780.03,55.176,74.2,644.776,19.624,5.256,259.061
2026-01-01 00:05:00,780.643,780.03,50.394,70.293,709.121,20.36,5.263,238.716
2026-01-01 00:05:20,780.69,780.03,54.057,78.096,668.493,21.537,5.235,252.939
2026-01-01 00:05:40,781.137,780.04,51.928,72.181,586.894,20.238,5.136,238.475
2026-01-01 00:06:00,781.342,780.04,51.945,71.273,609.529,20.075,5.419,250.704
2026-01-01 00:06:20,781.362,780.04,52.776,77.774,748.483,19.693,5.273,249.095
2026-01-01 00:06:40,781.477,780.04,59.314,78.861,668.652,19.642,5.311,278.383
2026-01-01 00:07:00,781.659,780.05,56.147,77.827,714.104,20.571,5.305,266.46
2026-01-01 00:07:20,782.325,780.05,54.639,71.198,749.977,20.178,5.244,257.901
2026-01-01 00:07:40,782.655,780.05,46.849,71.75,647.385,19.622,5.24,219.813
2026-01-01 00:08:00,782.772,780.05,53.147,76.433,684.657,19.391,5.307,250.744
2026-01-01 00:08:20,782.621,780.05,48.696,74.518,581.097,19.907,5.194,225.782
2026-01-01 00:08:40,782.307,780.06,56.419,73.222,643.059,19.684,5.316,265.56
2026-01-01 00:09:00,781.592,780.06,56.559,78.255,697.065,20.001,5.253,266.226
2026-01-01 00:09:20,781.131,780.06,52.923,73.8,663.293,19.867,5.288,249.18
2026-01-01 00:09:40,781.236,780.06,61.15,79.775,693.05,20.239,5.256,286.85
2026-01-01 00:10:00,781.212,780.07,54.927,76.096,715.339,19.247,5.172,253.993
2026-01-01 00:10:20,781.25,780.07,51.338,71.223,699.485,20.661,5.231,242.261
2026-01-01 00:10:40,781.224,780.07,55.113,74.459,689.938,21.673,5.344,263.427
2026-01-01 00:11:00,781.203,780.07,54.602,73.092,684.417,20.723,5.299,258.119
2026-01-01 00:11:20,781.417,780.07,51.506,71.949,651.036,20.139,5.338,246.797
2026-01-01 00:11:40,781.723,780.08,52.642,75.792,635.816,20.537,5.326,250.678
2026-01-01 00:12:00,781.814,780.08,57.904,77.163,739.161,19.403,5.206,269.328
2026-01-01 00:12:20,781.846,780.08,54.086,71.901,714.592,19.059,5.129,247.888
2026-01-01 00:12:40,782.298,780.08,57.623,75.784,644.197,20.473,5.323,272.212
2026-01-01 00:13:00,782.58,780.09,56.798,76.208,683.367,19.687,5.243,266.718
2026-01-01 00:13:20,782.736,780.09,47.738,73.608,618.621,19.202,5.313,224.522
2026-01-01 00:13:40,782.902,780.09,52.461,73.129,660.525,19.482,5.371,250.712
2026-01-01 00:14:00,782.586,780.09,55.488,78.421,706.909,19.333,5.232,257.399
2026-01-01 00:14:20,782.582,780.09,54.375,73.187,695.283,20.092,5.201,255.29
2026-01-01 00:14:40,782.43,780.1,56.099,79.008,689.555,20.362,5.182,259.117
2026-01-01 00:15:00,782.43,780.1,52.668,70.421,645.353,20.545,5.263,246.563
2026-01-01 00:15:20,782.314,780.1,46.672,70.846,636.996,20.55,5.153,216.338
2026-01-01 00:15:40,781.771,780.1,57.544,74.569,729.405,20.467,5.296,272.068
2026-01-01 00:16:00,781.405,780.1,58.315,77.559,763.636,19.89,5.301,277.865
2026-01-01 00:16:20,780.645,780.11,56.953,75.41,712.94,19.641,5.302,268.545
2026-01-01 00:16:40,781.258,780.11,55.384,76.969,681.206,19.111,5.137,254.654
2026-01-01 00:17:00,781.726,780.11,58.981,76.246,744.852,20.676,5.368,280.767
2026-01-01 00:17:20,781.983,780.11,52.936,75.41,652.594,19.911,5.285,249.18
2026-01-01 00:17:40,781.817,780.12,49.969,71.107,738.644,19.772,5.24,235.966
2026-01-01 00:18:00,781.409,780.12,55.68,72.791,665.172,20.726,5.329,263.358
2026-01-01 00:18:20,781.799,780.12,55.977,76.961,668.145,19.48,5.33,267.802
2026-01-01 00:18:40,867.112,780.12,55.509,74.59,678.57,20.521,5.188,258.386
2026-01-01 00:19:00,782.319,780.12,54.296,74.182,689.754,20.199,5.277,255.483
2026-01-01 00:19:20,782.367,780.13,55.673,74.667,736.241,19.399,5.235,261.403
2026-01-01 00:19:40,782.49,780.13,53.597,74.962,637.133,19.977,5.251,250.35
2026-01-01 00:20:00,782.415,780.13,47.356,70.538,669.389,20.607,5.327,226.348
2026-01-01 00:20:20,781.772,780.13,57.135,75.686,706.78,20.501,5.217,266.925
2026-01-01 00:20:40,781.729,780.14,55.542,73.659,723.205,20.922,5.333,265.304
2026-01-01 00:21:00,781.331,780.14,58.332,72.618,622.141,20.228,5.216,269.753
2026-01-01 00:21:20,781.874,780.14,58.104,76.419,664.047,22.049,5.388,277.08
2026-01-01 00:21:40,782.234,780.14,53.574,75.978,621.677,19.475,5.24,250.79
2026-01-01 00:22:00,732.546,780.14,56.464,77.994,669.647,19.788,5.477,274.921
2026-01-01 00:22:20,782.355,780.15,51.614,75.18,682.195,19.992,5.36,249.187
2026-01-01 00:22:40,781.747,780.15,56.394,77.169,725.251,19.178,5.281,267.104
2026-01-01 00:23:00,781.902,780.15,55.099,77.966,600.283,20.656,5.222,255.789
2026-01-01 00:23:20,781.917,780.15,56.068,75.744,733.524,20.573,5.341,266.275
2026-01-01 00:23:40,781.959,780.15,58.336,79.849,681.955,20.043,5.381,279.239
2026-01-01 00:24:00,782.24,780.16,51.769,72.541,690.283,19.712,5.351,248.38
2026-01-01 00:24:20,782.014,780.16,53.788,73.154,750.078,19.137,5.257,254.69
2026-01-01 00:24:40,781.951,780.16,55.256,72.965,767.635,19.561,5.418,267.41
2026-01-01 00:25:00,781.901,780.16,54.624,76.156,678.379,20.482,5.329,261.216
2026-01-01 00:25:20,782.154,780.17,54.431,71.662,678.819,19.909,5.255,253.85
2026-01-01 00:25:40,782.229,780.17,52.554,72.185,693.404,19.781,5.486,259.217
2026-01-01 00:26:00,782.463,780.17,51.662,72.924,680.08,20.339,5.362,246.913
2026-01-01 00:26:20,782.549,780.17,49.303,74.296,646.246,20.734,5.344,236.405
2026-01-01 00:26:40,782.482,780.17,53.757,75.896,710.15,20.195,5.274,253.341
2026-01-01 00:27:00,782.116,780.18,50.881,71.548,682.602,20.23,5.311,241.959
